variableMetadata	accession	description	uniprot_id	limmaM_WT.LAT_diff	limmaM_WT.LAT_BH	limmaM_WT.LAT_signif	limmaF_WT.LAT_diff	limmaF_WT.LAT_BH	limmaF_WT.LAT_signif	limmaWT_M.F_diff_LAT	limmaWT_M.F_BH_LAT	limmaWT_M.F_signif_LAT	limmaLAT_M.F_diff	limmaLAT_M.F_BH	limmaLAT_M.F_signif	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2
P17563_Methanethiol oxidase	sp|P17563|SBP1_MOUSE	Methanethiol oxidase  OS=Mus musculus (Mouse) GN=Selenbp1 PE=1 SV=2	P17563	0.0893363109503582	0.703341343223617	0	0.0167909825491854	0.898224586751157	0	0.0835851335460056	0.36999722385076	0	0.0110398051448328	0.929803193193629	0	0.0565522824172824	0.589745387019089	0	0.120853643204512	0.0775372332763651	0	0.674550385533568	0.807303602068037	E	E	E	E	E	E
Q63836_Selenium-binding protein.	sp|Q63836|SBP2_MOUSE	Selenium-binding protein 2  OS=Mus musculus (Mouse) GN=Selenbp2 PE=1 SV=2	Q63836	-0.530062398338856	0.586578693904628	0	0.783794341010186	0.396635262646846	0	-5.04924883380604	1.65317126768816e-06	1	-3.73539209445699	0.000100629164040828	1	-0.582531094978943	0.606265735039694	0	-5.21964398412777	3.76730217685161e-11	1	0.0264084128996181	0.612706073210528	E	E	E	E	E	C
P34914_Bifunctional epoxide hyd.	sp|P34914|HYES_MOUSE	Bifunctional epoxide hydrolase 2  OS=Mus musculus (Mouse) GN=Ephx2 PE=1 SV=2	P34914	-0.0661574161955265	0.773670556121794	0	0.138753052834634	0.488894869661246	0	-0.893624721997885	5.85083869849381e-06	1	-0.688714252967724	0.00153650868875764	1	0.0891343341079427	0.204606467993074	0	-0.789831755718868	1.81781949600678e-11	1	0.0726540731619492	0.182195727404058	E	E	E	E	E	E
Q68FD5_Clathrin heavy chain 1	sp|Q68FD5|CLH1_MOUSE	Clathrin heavy chain 1  OS=Mus musculus (Mouse) GN=Cltc PE=1 SV=3	Q68FD5	-0.0539515587577704	0.889681936523798	0	0.273414961450786	0.107258406604474	0	-0.288019612429395	0.0286547783775626	1	0.0393469077791622	0.860109130177096	0	-0.0948117606945189	0.659195387382198	0	-0.251112455700895	0.0582344474226726	0	0.998525686320681	0.451127360467336	E	E	E	E	E	E
P32020_Non-specific lipid-trans.	sp|P32020|NLTP_MOUSE	Non-specific lipid-transfer protein  OS=Mus musculus (Mouse) GN=Scp2 PE=1 SV=3	P32020	-0.100976897577642	0.751389527285161	0	0.432249460779019	0.0673489089513587	0	-2.49953059218718	1.17978224665985e-09	1	-1.96630423383052	6.89786151631624e-07	1	-0.0546280719823642	0.78402693290559	0	-2.5198149013394	3.94942299472612e-20	1	0.0375011976365309	0.269131730573024	E	E	E	E	E	E
P57780_Alpha-actinin-4	sp|P57780|ACTN4_MOUSE	Alpha-actinin-4  OS=Mus musculus (Mouse) GN=Actn4 PE=1 SV=1	P57780	-0.0164026340012278	0.977766940127313	0	0.472488633117123	0.0117224600598476	1	-0.150257467426755	0.236696998696797	0	0.338633799691596	0.14156461199541	0	0.17066772287318	0.133596767332022	0	-0.256855801472373	0.00804331352706156	1	2.00823869107356	1.27076516715635	E	E	E	E	E	E
Q9DBM2_Peroxisomal bifunctional.	sp|Q9DBM2|ECHP_MOUSE	Peroxisomal bifunctional enzyme  OS=Mus musculus (Mouse) GN=Ehhadh PE=1 SV=4	Q9DBM2	0.250051977292671	0.616209714547821	0	0.360006115880427	0.0222632083340507	1	-0.190160460346554	0.322033289257115	0	-0.0802063217587978	0.570979264017938	0	0.190035206740994	0.116849687074177	0	-0.236556062028953	0.0189924315396936	1	1.88963349263021	1.40180724645061	E	E	E	E	E	E
Q91YI0_Argininosuccinate lyase	sp|Q91YI0|ARLY_MOUSE	Argininosuccinate lyase  OS=Mus musculus (Mouse) GN=Asl PE=1 SV=1	Q91YI0	0.165475664251058	0.257485341559806	0	0.165314485498328	0.188135393022405	0	0.047929111702075	0.583435511296807	0	0.0477679329493448	0.658891959560295	0	0.212840918269148	0.000377135624765714	1	0.0319300182684898	0.661969634437098	0	2.13203587470686	2.48413928615067	E	E	E	E	E	E
P06801_NADP-dependent malic enz.	sp|P06801|MAOX_MOUSE	NADP-dependent malic enzyme  OS=Mus musculus (Mouse) GN=Me1 PE=1 SV=2	P06801	-0.228709934670643	0.707794780668701	0	-0.0660842486973614	0.898533524677539	0	-0.514394233733846	0.0344689132685047	1	-0.351768547760564	0.434785489090995	0	-0.0553701902131891	0.852370930453613	0	-0.235472795108951	0.130483077870901	0	0.832731836286024	0.36686898233097	E	E	E	E	E	E
Q8BMS1_Trifunctional enzyme sub.	sp|Q8BMS1|ECHA_MOUSE	Trifunctional enzyme subunit alpha, mitochondrial  OS=Mus musculus (Mouse) GN=Hadha PE=1 SV=1	Q8BMS1	-0.0604371647881834	0.798236225658984	0	0.174363179009895	0.211177203896192	0	-0.191966514013089	0.146019690906171	0	0.0428338297849891	0.672567896428716	0	0.0333471688512965	0.73895814562963	0	-0.193125559997704	0.0183877768480115	1	0.817579267491631	0.3254844266349	E	E	E	E	E	E
Q03265_ATP synthase subunit alp.	sp|Q03265|ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5f1a PE=1 SV=1	Q03265	0.00751908705924365	0.976995720031254	0	-0.0756154445149981	0.334699925561402	0	0.0939932795422145	0.163625192717931	0	0.0108587479679727	0.918370194150707	0	-0.025262513068423	0.649402822870565	0	0.113608795148068	0.0103426633157384	1	0.628822017592446	0.442276328828199	E	E	E	E	E	E
Q99LB7_Sarcosine dehydrogenase,.	sp|Q99LB7|SARDH_MOUSE	Sarcosine dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Sardh PE=1 SV=1	Q99LB7	0.15027598298413	0.670162975392028	0	0.297877820506514	0.0604462190260849	0	0.210804741989008	0.16182994922423	0	0.358406579511392	0.0142282328023867	1	0.211791090047655	0.10331649166156	0	0.132966123639179	0.233221045485488	0	1.95477755129255	1.73877383940045	E	E	E	E	E	E
P41216_Long-chain-fatty-acid--C.	sp|P41216|ACSL1_MOUSE	Long-chain-fatty-acid--CoA ligase 1  OS=Mus musculus (Mouse) GN=Acsl1 PE=1 SV=2	P41216	-0.085109729251144	0.747240383250974	0	0.0897145421700891	0.551923011503383	0	-0.511394087055081	0.000584084552518799	1	-0.336569815633847	0.0207839103389119	1	-0.0404092960985594	0.852763292146465	0	-0.516485038070812	1.44032276301958e-08	1	0.123258816052554	0.340486929786718	E	E	E	E	E	E
Q91XD4_Formimidoyltransferase-c.	sp|Q91XD4|FTCD_MOUSE	Formimidoyltransferase-cyclodeaminase  OS=Mus musculus (Mouse) GN=Ftcd PE=1 SV=1	Q91XD4	0.0794124084549708	0.604930817341856	0	0.140622994420472	0.230595544229409	0	-0.273268267499059	0.00424221479317903	1	-0.212057681533558	0.0243079798961865	1	0.113005193368046	0.0612486711455165	0	-0.277971537663131	7.34840836717138e-06	1	1.08316359390584	0.950538358892337	E	E	E	E	E	E
P05784_Keratin, type I cytoskel.	sp|P05784|K1C18_MOUSE	Keratin, type I cytoskeletal 18  OS=Mus musculus (Mouse) GN=Krt18 PE=1 SV=5	P05784	-0.0144592979212419	0.973756306594075	0	0.0402474117523148	0.734007312300318	0	0.0406361812660592	0.643442863202154	0	0.0953428909396159	0.47231411347517	0	0.0703954984732498	0.407371009971568	0	0.0467658506183426	0.517122784157247	0	0.306200900543731	0.588473623126198	E	E	E	E	E	E
P11499_Heat shock protein HSP 9.	sp|P11499|HS90B_MOUSE	Heat shock protein HSP 90-beta  OS=Mus musculus (Mouse) GN=Hsp90ab1 PE=1 SV=3	P11499	-0.0796941740241017	0.695265838155931	0	0.237280331969377	0.0986034455640085	0	0.0514606713408945	0.667795493511783	0	0.368435177334373	0.00217331581669916	1	0.088401199061682	0.352935614379362	0	-0.0422388143907142	0.579304985708429	0	1.17723712266295	1.09671694830619	E	E	E	E	E	E
Q9QXX4_Calcium-binding mitochon.	sp|Q9QXX4|CMC2_MOUSE	Calcium-binding mitochondrial carrier protein Aralar2  OS=Mus musculus (Mouse) GN=Slc25a13 PE=1 SV=1	Q9QXX4	0.1915728345807	0.62370918459399	0	0.232329784516018	0.141459156135486	0	-0.0741508948555492	0.701473622861995	0	-0.0333939449202312	0.746339680709965	0	0.235012417764583	0.0315684149366849	1	-0.0492005163460156	0.559079094235092	0	1.42537757991068	1.64865038106642	E	E	E	E	E	E
P24270_Catalase	sp|P24270|CATA_MOUSE	Catalase  OS=Mus musculus (Mouse) GN=Cat PE=1 SV=4	P24270	0.0595171261931142	0.699588351554391	0	-0.0393934872383532	0.729889471168558	0	-0.0532712670428133	0.515936460403485	0	-0.152181880474281	0.0687932729812558	0	0.0383456794238413	0.488084306906347	0	-0.128482603273142	0.00578397116447884	1	0.0522879462712088	0.507439216401743	E	E	E	E	E	E
P26443_Glutamate dehydrogenase .	sp|P26443|DHE3_MOUSE	Glutamate dehydrogenase 1, mitochondrial  OS=Mus musculus (Mouse) GN=Glud1 PE=1 SV=1	P26443	-0.147986327357231	0.555780707461771	0	-0.0946917761031081	0.370101009449681	0	0.177342494402311	0.0195733445803535	1	0.230637045656433	0.0490140233652982	1	-0.0219732228120613	0.690740980211982	0	0.247774978277043	3.02904376021899e-05	1	1.35093684962698	0.391885375332418	E	E	E	E	E	E
P63017_Heat shock cognate 71 kD.	sp|P63017|HSP7C_MOUSE	Heat shock cognate 71 kDa protein  OS=Mus musculus (Mouse) GN=Hspa8 PE=1 SV=1	P63017	-0.0347845028387717	0.776215407910458	0	0.0958003977422379	0.399753310246817	0	0.0520160643695	0.578075704368602	0	0.18260096495051	0.0188031856795807	1	0.0602052164379927	0.359942276059026	0	0.00743841151189173	0.935116938597467	0	0.706334188857826	1.0647042275811	E	E	E	E	E	E
Q921I1_Serotransferrin	sp|Q921I1|TRFE_MOUSE	Serotransferrin  OS=Mus musculus (Mouse) GN=Tf PE=1 SV=1	Q921I1	-0.0111708604466436	0.977766940127313	0	0.112287118321259	0.444394995838841	0	0.18774232178021	0.129907030995073	0	0.311200300548112	0.030729709235153	1	0.107458369935664	0.387400506420563	0	0.0508576005868271	0.653543088429162	0	0.686576527071998	1.03515765787942	E	E	E	E	E	E
P16858_Glyceraldehyde-3-phospha.	sp|P16858|G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase  OS=Mus musculus (Mouse) GN=Gapdh PE=1 SV=2	P16858	-0.0143272676654433	0.974953156543705	0	0.142841571400321	0.154752661896178	0	-0.20549194485713	0.0288860779588019	1	-0.0483231057913649	0.757915006688313	0	0.141923823208835	0.0471522961952547	1	-0.163609371633235	0.00710698715003317	1	0.382454136822665	1.23726825121522	E	E	E	E	E	E
P08113_Endoplasmin	sp|P08113|ENPL_MOUSE	Endoplasmin  OS=Mus musculus (Mouse) GN=Hsp90b1 PE=1 SV=2	P08113	-0.0852548592591127	0.799309015085779	0	0.375707335786174	0.0170201503022389	1	-0.0605990881664944	0.634446558111133	0	0.400363106878793	0.0313457371647965	1	0.12929153859189	0.189211896761122	0	-0.162236133714423	0.0465048905754286	1	1.49479982002133	1.06838442236998	E	E	E	E	E	E
P16460_Argininosuccinate syntha.	sp|P16460|ASSY_MOUSE	Argininosuccinate synthase  OS=Mus musculus (Mouse) GN=Ass1 PE=1 SV=1	P16460	0.240146208581972	0.601964091599484	0	0.31244903059666	0.262374255555868	0	0.140492107021981	0.401538631481661	0	0.212794929036669	0.469110514171603	0	0.224496596766905	0.104171892925795	0	0.0757255031366597	0.579304985708429	0	1.75994013759301	1.53820542223267	E	E	E	E	E	E
P50544_Very long-chain specific.	sp|P50544|ACADV_MOUSE	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Acadvl PE=1 SV=3	P50544	-0.00335384927671356	0.992737585950781	0	-0.00916066083086875	0.931206149009851	0	0.0597563852649365	0.444796993137259	0	0.0539495737107814	0.581080743750788	0	0.0316189167538923	0.682437278489716	0	0.0296413449658139	0.604326676603383	0	0.210502822015939	0.593063846194095	E	E	E	E	E	E
P38647_Stress-70 protein, mitoc.	sp|P38647|GRP75_MOUSE	Stress-70 protein, mitochondrial  OS=Mus musculus (Mouse) GN=Hspa9 PE=1 SV=3	P38647	0.0895782046206151	0.661208482716078	0	0.194329138943861	0.0689367601249263	0	-0.0536023827229108	0.536306278876332	0	0.0511485516003347	0.634216686424384	0	0.094135074008225	0.168234332410079	0	-0.12546804053342	0.0275850278634418	1	2.17321217956016	1.10168193472877	E	E	E	E	E	E
Q91WU0_Carboxylesterase 1F	sp|Q91WU0|CES1F_MOUSE	Carboxylesterase 1F  OS=Mus musculus (Mouse) GN=Ces1f PE=1 SV=1	Q91WU0	-0.0686634370482544	0.725845375156762	0	0.103278998218375	0.302455140336633	0	-0.316460622339331	0.00194494735040715	1	-0.144518187072702	0.130909243586286	0	0.0376036897355618	0.598087193781092	0	-0.318858343422519	1.65124761096951e-05	1	0.412429053378064	0.241647669262753	E	E	E	E	E	E
P20029_Endoplasmic reticulum ch.	sp|P20029|BIP_MOUSE	Endoplasmic reticulum chaperone BiP  OS=Mus musculus (Mouse) GN=Hspa5 PE=1 SV=3	P20029	-0.142046621693314	0.652794058524063	0	0.189066437992949	0.162200814057736	0	-0.156986046831165	0.221374678444749	0	0.174127012855099	0.177469896046757	0	0.0325675622560304	0.712878705313487	0	-0.195171730029319	0.00786320782832042	1	0.521449600346548	0.0827084594437038	E	E	E	E	E	E
Q9EQ20_Methylmalonate-semialdeh.	sp|Q9EQ20|MMSA_MOUSE	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  OS=Mus musculus (Mouse) GN=Aldh6a1 PE=1 SV=1	Q9EQ20	0.0734840443056726	0.62370918459399	0	-0.0409518977727075	0.575324246700489	0	0.169764169017977	0.00263558625339238	1	0.0553282269395972	0.51895419397054	0	0.0542025811192701	0.177267550824355	0	0.135041870534319	5.00937380556247e-05	1	0.38712521508305	1.24557559962892	E	E	E	E	E	E
P11725_Ornithine carbamoyltrans.	sp|P11725|OTC_MOUSE	Ornithine carbamoyltransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Otc PE=1 SV=1	P11725	-0.0113125007565849	0.974953156543705	0	0.0330569455293457	0.75970357480893	0	-0.00990862191883224	0.92633624571384	0	0.0344608243670983	0.748170936200634	0	0.0362245565866957	0.635004039261734	0	0.0373676276154953	0.499521881138139	0	0.498329224893481	0.514467736848883	E	E	E	E	E	E
Q99K67_Alpha-aminoadipic semial.	sp|Q99K67|AASS_MOUSE	Alpha-aminoadipic semialdehyde synthase, mitochondrial  OS=Mus musculus (Mouse) GN=Aass PE=1 SV=1	Q99K67	0.443028329611771	0.324477968402256	0	0.49925169825611	0.00317976857502905	1	-0.321606660494769	0.0118440569710673	1	-0.26538329185043	0.171359034476432	0	0.440850941413252	3.88846207541505e-05	1	-0.362167946110091	6.68319105186284e-05	1	2.25894870752552	2.20761330760598	B	E	E	E	E	E
Q3UQ44_Ras GTPase-activating-li.	sp|Q3UQ44|IQGA2_MOUSE	Ras GTPase-activating-like protein IQGAP2  OS=Mus musculus (Mouse) GN=Iqgap2 PE=1 SV=2	Q3UQ44	0.0236525185483849	0.967507245250894	0	0.226966131526851	0.374875408599729	0	-0.127357474077595	0.533155058730923	0	0.0759561389008709	0.734438494052445	0	2.86939227933658e-06	0.992462954970265	0	-0.100627256634823	0.545124732701552	0	1.06846465586977	0.100142494586067	E	E	E	E	E	E
P47738_Aldehyde dehydrogenase, .	sp|P47738|ALDH2_MOUSE	Aldehyde dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Aldh2 PE=1 SV=1	P47738	0.0391794499575546	0.83629014997806	0	0.0315007608690685	0.720266072721005	0	0.0695507232642107	0.354619265657223	0	0.0618720341757246	0.490901687377744	0	0.0135085126155516	0.900326128160441	0	0.111078992895358	0.0147544662544493	1	0.729224744354713	0.452071361368862	E	E	E	E	E	E
O35490_Betaine--homocysteine S-.	sp|O35490|BHMT1_MOUSE	Betaine--homocysteine S-methyltransferase 1  OS=Mus musculus (Mouse) GN=Bhmt PE=1 SV=1	O35490	0.0437921538547279	0.903363969127573	0	0.0682410707205534	0.665383001371695	0	-0.305929205739158	0.00314138027905587	1	-0.281480288873333	0.170161007176381	0	0.262902627472027	0.000557891549316037	1	-0.221750798962407	0.000796467526411076	1	0.00349463700358265	1.77095587034943	E	E	E	E	E	E
P24549_Retinal dehydrogenase 1	sp|P24549|AL1A1_MOUSE	Retinal dehydrogenase 1  OS=Mus musculus (Mouse) GN=Aldh1a1 PE=1 SV=5	P24549	0.00910315471272938	0.99354699433829	0	0.0491887367377366	0.917511893140998	0	-0.548111046582363	0.00549431365819428	1	-0.508025464557356	0.259097708799462	0	0.196376837655372	0.155362411458366	0	-0.386749304677256	0.00162841465600968	1	0.30272301535797	0.761630533567176	E	E	E	E	E	E
Q9CPY7_Cytosol aminopeptidase	sp|Q9CPY7|AMPL_MOUSE	Cytosol aminopeptidase  OS=Mus musculus (Mouse) GN=Lap3 PE=1 SV=3	Q9CPY7	-0.013813212288273	0.917806821319919	0	0.11817514742545	0.0987446335291465	0	-0.245084094316795	0.000378559455396976	1	-0.113095734603071	0.0973364936839462	0	0.114177234363208	0.0013994704806389	1	-0.271524795938351	1.49028938915888e-09	1	0.743006295751892	1.01338741582009	E	E	E	E	E	E
Q8VC12_Urocanate hydratase	sp|Q8VC12|HUTU_MOUSE	Urocanate hydratase  OS=Mus musculus (Mouse) GN=Uroc1 PE=1 SV=2	Q8VC12	0.0893671345216305	0.734096530441307	0	0.224830392502582	0.119119533585102	0	0.108450252298166	0.163151500764589	0	0.243913510279118	0.176085761419505	0	0.134032806952721	0.149464401190761	0	0.0657488557304688	0.439179396270401	0	1.97107225141045	1.66842569769057	E	E	E	E	E	E
P07901_Heat shock protein HSP 9.	sp|P07901|HS90A_MOUSE	Heat shock protein HSP 90-alpha  OS=Mus musculus (Mouse) GN=Hsp90aa1 PE=1 SV=4	P07901	-0.110049419153142	0.62370918459399	0	0.190260381108136	0.251042098340041	0	0.041991709599607	0.776365372351211	0	0.342301509860885	0.00341035365255447	1	0.0454178825367855	0.713134948423015	0	-0.0420541791821663	0.642299418700584	0	0.677908226906949	0.529450048119324	E	E	E	E	E	E
O08601_Microsomal triglyceride .	sp|O08601|MTP_MOUSE	Microsomal triglyceride transfer protein large subunit  OS=Mus musculus (Mouse) GN=Mttp PE=1 SV=2	O08601	-0.101993443907684	0.694167583854199	0	0.405147601595111	0.0245095368919796	1	-0.390727566219912	0.0068667341952368	1	0.116413479282883	0.383454299035971	0	0.0504182587595814	0.632872044385251	0	-0.336486603001791	0.000412144881475173	1	1.33835299935134	0.318082244000203	E	E	E	E	E	E
