variableMetadata	set	gene	accession	description	uniprot_id	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
P62889_60S ribosomal protein L30	proteomics_liver	MX2	sp|P62889|RL30_MOUSE	60S ribosomal protein L30  OS=Mus musculus (Mouse) GN=Rpl30 PE=1 SV=2	P62889	-0.22268780159235	7.98400385847513e-05	1	0.0324550214940871	0.385375150794095	0	2.61241460957273	plsda	0
P35979_60S ribosomal protein L12	proteomics_liver	MX2	sp|P35979|RL12_MOUSE	60S ribosomal protein L12  OS=Mus musculus (Mouse) GN=Rpl12 PE=1 SV=2	P35979	-0.203290681771414	7.98400385847513e-05	1	-0.008697723938905	0.987379971058062	0	2.83647269942259	plsda	0
P52760_2-iminobutanoate/2-imino.	proteomics_liver	MX2	sp|P52760|RIDA_MOUSE	2-iminobutanoate/2-iminopropanoate deaminase  OS=Mus musculus (Mouse) GN=Rida PE=1 SV=3	P52760	-0.337721212659623	8.39995919097437e-05	1	0.5696433422962	4.23301938673713e-09	1	1.30457316546501		0
P62806_Histone H4	proteomics_liver	MX2	sp|P62806|H4_MOUSE	Histone H4  OS=Mus musculus (Mouse) GN=Hist1h4a PE=1 SV=2	P62806	-0.268191490276621	9.06591611267955e-05	1	0.272305856371123	1.39498880366106e-05	1	1.81258718592343		0
P61089_Ubiquitin-conjugating en.	proteomics_liver	MX2	sp|P61089|UBE2N_MOUSE	Ubiquitin-conjugating enzyme E2 N  OS=Mus musculus (Mouse) GN=Ube2n PE=1 SV=1	P61089	-0.228047998833745	9.06591611267955e-05	1	0.245065888677654	6.78324303347037e-06	1	1.9557636454261		0
O55142_60S ribosomal protein L3.	proteomics_liver	MX2	sp|O55142|RL35A_MOUSE	60S ribosomal protein L35a  OS=Mus musculus (Mouse) GN=Rpl35a PE=1 SV=2	O55142	-0.262969045223766	9.84203934587232e-05	1	0.0857106261023048	0.0810273798019859	0	2.6400842038044		0
P62245_40S ribosomal protein S1.	proteomics_liver	MX2	sp|P62245|RS15A_MOUSE	40S ribosomal protein S15a  OS=Mus musculus (Mouse) GN=Rps15a PE=1 SV=2	P62245	-0.213258229811508	0.000110016147216314	1	0.065201565538743	0.103357620868938	0	2.70084950078564		0
P70349_Histidine triad nucleoti.	proteomics_liver	MX2	sp|P70349|HINT1_MOUSE	Histidine triad nucleotide-binding protein 1  OS=Mus musculus (Mouse) GN=Hint1 PE=1 SV=3	P70349	-0.266235765800388	0.000110805455121397	1	0.0217335439880237	0.600584253583819	0	2.64491964548102		0
P62900_60S ribosomal protein L31	proteomics_liver	MX2	sp|P62900|RL31_MOUSE	60S ribosomal protein L31  OS=Mus musculus (Mouse) GN=Rpl31 PE=1 SV=1	P62900	-0.243347143733715	0.000110805455121397	1	0.122409511358171	0.0116916369314543	1	2.51117052707353		0
Q9DBH5_Vesicular integral-membr.	proteomics_liver	MX2	sp|Q9DBH5|LMAN2_MOUSE	Vesicular integral-membrane protein VIP36  OS=Mus musculus (Mouse) GN=Lman2 PE=1 SV=2	Q9DBH5	-0.2525775356312	0.000138914408245158	1	0.0335657704299166	0.448585230052698	0	2.73667750708186		0
O35945_Aldehyde dehydrogenase, .	proteomics_liver	MX2	sp|O35945|AL1A7_MOUSE	Aldehyde dehydrogenase, cytosolic 1  OS=Mus musculus (Mouse) GN=Aldh1a7 PE=1 SV=1	O35945	0.208638274696543	0.000141971507568381	1	-0.235262119683931	6.22533386291804e-06	1	1.70611255316889		0
Q9CPQ1_Cytochrome c oxidase sub.	proteomics_liver	MX2	sp|Q9CPQ1|COX6C_MOUSE	Cytochrome c oxidase subunit 6C  OS=Mus musculus (Mouse) GN=Cox6c PE=1 SV=3	Q9CPQ1	-0.338851267272215	0.00014423388222496	1	0.174237298239177	0.0119606848078714	1	2.18838550338568		0
P27048_Small nuclear ribonucleo.	proteomics_liver	MX2	sp|P27048|RSMB_MOUSE	Small nuclear ribonucleoprotein-associated protein B  OS=Mus musculus (Mouse) GN=Snrpb PE=1 SV=1	P27048	-0.240951481226062	0.00014861192862018	1	0.261057001160061	1.14375497184293e-05	1	1.91832471532694		0
Q9JJU8_SH3 domain-binding gluta.	proteomics_liver	MX2	sp|Q9JJU8|SH3L1_MOUSE	SH3 domain-binding glutamic acid-rich-like protein  OS=Mus musculus (Mouse) GN=Sh3bgrl PE=1 SV=1	Q9JJU8	-0.380205898466862	0.000155574470321043	1	0.244308907011444	0.00273408066427552	1	2.21237200857727		0
O08583_THO complex subunit 4	proteomics_liver	MX2	sp|O08583|THOC4_MOUSE	THO complex subunit 4  OS=Mus musculus (Mouse) GN=Alyref PE=1 SV=3	O08583	-0.471264164057992	0.000177827670310258	1	0.386252607207471	0.000339398960848464	1	1.91373526205379		0
P61458_Pterin-4-alpha-carbinola.	proteomics_liver	MX2	sp|P61458|PHS_MOUSE	Pterin-4-alpha-carbinolamine dehydratase  OS=Mus musculus (Mouse) GN=Pcbd1 PE=1 SV=2	P61458	-0.284653467478876	0.000212304536658412	1	0.241529975990773	0.000279119813903121	1	1.97755770092269		0
P83940_Elongin-C	proteomics_liver	MX2	sp|P83940|ELOC_MOUSE	Elongin-C  OS=Mus musculus (Mouse) GN=Eloc PE=1 SV=1	P83940	-0.418274073162976	0.000252626685493303	1	0.17336708253297	0.0461877771518278	1	2.33399967310255		0
Q9QUH0_Glutaredoxin-1	proteomics_liver	MX2	sp|Q9QUH0|GLRX1_MOUSE	Glutaredoxin-1  OS=Mus musculus (Mouse) GN=Glrx PE=1 SV=3	Q9QUH0	-0.387471527481992	0.000286602303264853	1	0.315887373105095	0.000519667722320902	1	2.18978499263177		0
P12791_Cytochrome P450 2B10	proteomics_liver	MX2	sp|P12791|CP2BA_MOUSE	Cytochrome P450 2B10  OS=Mus musculus (Mouse) GN=Cyp2b10 PE=1 SV=1	P12791	3.06365089689808	0.000290350282414253	1	3.18118956842651	3.73638250873195e-05	1	2.17546196374571	svm	0.0204729671003505
Q64458_Cytochrome P450 2C29	proteomics_liver	MX2	sp|Q64458|CP2CT_MOUSE	Cytochrome P450 2C29  OS=Mus musculus (Mouse) GN=Cyp2c29 PE=1 SV=2	Q64458	0.427199209278136	0.000303688598569207	1	-0.909737659924701	5.61720935309043e-10	1	1.09889333140402		0
P14131_40S ribosomal protein S16	proteomics_liver	MX2	sp|P14131|RS16_MOUSE	40S ribosomal protein S16  OS=Mus musculus (Mouse) GN=Rps16 PE=1 SV=4	P14131	-0.186965122552479	0.000345605929496116	1	0.113806667116705	0.00666825520193628	1	2.38287350331445		0
Q9QUM9_Proteasome subunit alpha.	proteomics_liver	MX2	sp|Q9QUM9|PSA6_MOUSE	Proteasome subunit alpha type-6  OS=Mus musculus (Mouse) GN=Psma6 PE=1 SV=1	Q9QUM9	-0.132653571470918	0.000345605929496116	1	0.10968389296433	0.000538750116894679	1	2.01249278742937		0
Q9D0S9_Histidine triad nucleoti.	proteomics_liver	MX2	sp|Q9D0S9|HINT2_MOUSE	Histidine triad nucleotide-binding protein 2, mitochondrial  OS=Mus musculus (Mouse) GN=Hint2 PE=1 SV=1	Q9D0S9	-0.253523946216966	0.000346083109687662	1	0.23759533105175	0.000161308284387521	1	1.85334030637074		0
Q9CQ92_Mitochondrial fission 1 .	proteomics_liver	MX2	sp|Q9CQ92|FIS1_MOUSE	Mitochondrial fission 1 protein  OS=Mus musculus (Mouse) GN=Fis1 PE=1 SV=1	Q9CQ92	-0.24763410235073	0.000346083109687662	1	0.229705333877522	0.000173846447364348	1	1.99424434950968		0
Q91WS0_CDGSH iron-sulfur domain.	proteomics_liver	MX2	sp|Q91WS0|CISD1_MOUSE	CDGSH iron-sulfur domain-containing protein 1  OS=Mus musculus (Mouse) GN=Cisd1 PE=1 SV=1	Q91WS0	-0.218168954996646	0.000346083109687662	1	0.0895834237073068	0.0558437708192114	0	2.22993868189034		0
Q9DCX2_ATP synthase subunit d, .	proteomics_liver	MX2	sp|Q9DCX2|ATP5H_MOUSE	ATP synthase subunit d, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5h PE=1 SV=3	Q9DCX2	-0.216559459616704	0.000346083109687662	1	0.117185565085862	0.0146484006429639	1	2.24621645335482		0
P56959_RNA-binding protein FUS	proteomics_liver	MX2	sp|P56959|FUS_MOUSE	RNA-binding protein FUS  OS=Mus musculus (Mouse) GN=Fus PE=1 SV=1	P56959	-0.296048783246697	0.000364703254031378	1	0.152566162172992	0.0199411782080804	1	2.27088828978473		0
Q9CYW4_Haloacid dehalogenase-li.	proteomics_liver	MX2	sp|Q9CYW4|HDHD3_MOUSE	Haloacid dehalogenase-like hydrolase domain-containing protein 3  OS=Mus musculus (Mouse) GN=Hdhd3 PE=1 SV=1	Q9CYW4	-0.191740278855068	0.000364703254031378	1	0.315952609595151	7.30297813120219e-08	1	1.57222753647139		0
Q91YI0_Argininosuccinate lyase	proteomics_liver	MX2	sp|Q91YI0|ARLY_MOUSE	Argininosuccinate lyase  OS=Mus musculus (Mouse) GN=Asl PE=1 SV=1	Q91YI0	0.212840918269148	0.000377135624765714	1	0.0319300182684898	0.661969634437098	0	2.48413928615067		0
Q9Z172_Small ubiquitin-related .	proteomics_liver	MX2	sp|Q9Z172|SUMO3_MOUSE	Small ubiquitin-related modifier 3  OS=Mus musculus (Mouse) GN=Sumo3 PE=1 SV=1	Q9Z172	-0.515590502143954	0.000404282996048191	1	0.314722545045363	0.00780394488590144	1	2.26215314721955		0
Q8VCN5_Cystathionine gamma-lyase	proteomics_liver	MX2	sp|Q8VCN5|CGL_MOUSE	Cystathionine gamma-lyase  OS=Mus musculus (Mouse) GN=Cth PE=1 SV=1	Q8VCN5	0.382556452381017	0.000404282996048191	1	-0.0372687952167148	0.597432162666875	0	2.47656902932087		0
P03899_NADH-ubiquinone oxidored.	proteomics_liver	MX2	sp|P03899|NU3M_MOUSE	NADH-ubiquinone oxidoreductase chain 3  OS=Mus musculus (Mouse) GN=Mtnd3 PE=1 SV=3	P03899	-0.273406070335195	0.000404282996048191	1	-0.0936194445186622	0.193143424880915	0	2.43013094195491		0
P60867_40S ribosomal protein S20	proteomics_liver	MX2	sp|P60867|RS20_MOUSE	40S ribosomal protein S20  OS=Mus musculus (Mouse) GN=Rps20 PE=1 SV=1	P60867	-0.240374356763596	0.000421276082010041	1	0.131529147713934	0.0158141477724334	1	2.38527140679569		0
Q9CZX8_40S ribosomal protein S19	proteomics_liver	MX2	sp|Q9CZX8|RS19_MOUSE	40S ribosomal protein S19  OS=Mus musculus (Mouse) GN=Rps19 PE=1 SV=3	Q9CZX8	-0.231687841807425	0.000463991745098333	1	0.0148920746103585	0.699985545527792	0	2.62389615915646		0
Q9CWZ3_RNA-binding protein 8A	proteomics_liver	MX2	sp|Q9CWZ3|RBM8A_MOUSE	RNA-binding protein 8A  OS=Mus musculus (Mouse) GN=Rbm8a PE=1 SV=4	Q9CWZ3	-0.35909133089736	0.000477546173288042	1	0.377360193764744	6.9261660335961e-05	1	1.69432978631991		0
O55071_Cytochrome P450 2B19	proteomics_liver	MX2	sp|O55071|CP2BJ_MOUSE	Cytochrome P450 2B19  OS=Mus musculus (Mouse) GN=Cyp2b19 PE=2 SV=1	O55071	2.62710481462915	0.000509062216838001	1	2.93997411152045	2.86430852758525e-05	1	2.00477213518552	svm	0
P21107_Tropomyosin alpha-3 chain	proteomics_liver	MX2	sp|P21107|TPM3_MOUSE	Tropomyosin alpha-3 chain  OS=Mus musculus (Mouse) GN=Tpm3 PE=1 SV=3	P21107	-0.220502835314729	0.000509062216838001	1	0.168648241181003	0.00167865938523536	1	2.01809370760249		0
P56135_ATP synthase subunit f, .	proteomics_liver	MX2	sp|P56135|ATPK_MOUSE	ATP synthase subunit f, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5j2 PE=1 SV=3	P56135	-0.303671731895282	0.000519983892017568	1	0.277393580192943	0.000342790960267221	1	1.6383764592723		0
P99028_Cytochrome b-c1 complex .	proteomics_liver	MX2	sp|P99028|QCR6_MOUSE	Cytochrome b-c1 complex subunit 6, mitochondrial  OS=Mus musculus (Mouse) GN=Uqcrh PE=1 SV=2	P99028	-0.309002847003821	0.00053659096963056	1	-0.131299823270503	0.104916047686706	0	2.29452484577077		0
Q9CQZ5_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|Q9CQZ5|NDUA6_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6  OS=Mus musculus (Mouse) GN=Ndufa6 PE=1 SV=1	Q9CQZ5	-0.204367647917387	0.00053733900943556	1	0.0480959734078077	0.269920125204856	0	2.46093750869506		0
Q8R1S9_Sodium-coupled neutral a.	proteomics_liver	MX2	sp|Q8R1S9|S38A4_MOUSE	Sodium-coupled neutral amino acid transporter 4  OS=Mus musculus (Mouse) GN=Slc38a4 PE=1 SV=1	Q8R1S9	1.71135186467678	0.000550659206574122	1	-0.826517456257701	0.0351821528810525	1	2.04644727065493	svm	0
O35490_Betaine--homocysteine S-.	proteomics_liver	MX2	sp|O35490|BHMT1_MOUSE	Betaine--homocysteine S-methyltransferase 1  OS=Mus musculus (Mouse) GN=Bhmt PE=1 SV=1	O35490	0.262902627472027	0.000557891549316037	1	-0.221750798962407	0.000796467526411076	1	1.77095587034943		0
Q6P3D0_U8 snoRNA-decapping enzy.	proteomics_liver	MX2	sp|Q6P3D0|NUD16_MOUSE	U8 snoRNA-decapping enzyme  OS=Mus musculus (Mouse) GN=Nudt16 PE=1 SV=1	Q6P3D0	-0.418198552675275	0.000650857678400689	1	0.446153503749954	8.31348724103074e-05	1	1.66321318480775		0
P62830_60S ribosomal protein L23	proteomics_liver	MX2	sp|P62830|RL23_MOUSE	60S ribosomal protein L23  OS=Mus musculus (Mouse) GN=Rpl23 PE=1 SV=1	P62830	-0.195863543528965	0.000707736402620943	1	0.0618203331168097	0.160799448631676	0	2.49072794218971		0
Q8R1V4_Transmembrane emp24 doma.	proteomics_liver	MX2	sp|Q8R1V4|TMED4_MOUSE	Transmembrane emp24 domain-containing protein 4  OS=Mus musculus (Mouse) GN=Tmed4 PE=1 SV=1	Q8R1V4	-0.293050185273628	0.000728900493780477	1	0.181631339180438	0.0104070889240544	1	2.18356730497726		0
Q9DCQ2_Putative L-aspartate deh.	proteomics_liver	MX2	sp|Q9DCQ2|ASPD_MOUSE	Putative L-aspartate dehydrogenase  OS=Mus musculus (Mouse) GN=Aspdh PE=1 SV=1	Q9DCQ2	-0.186399504063129	0.000750874162587266	1	0.293512296155519	5.17775897906048e-07	1	1.46513979994867		0
Q9CQZ6_NADH dehydrogenase [ubiq.	proteomics_liver	MX2	sp|Q9CQZ6|NDUB3_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3  OS=Mus musculus (Mouse) GN=Ndufb3 PE=1 SV=1	Q9CQZ6	-0.327117274469025	0.000789460908174297	1	-0.148528011250757	0.0918044082996779	0	2.30962588452503		0
P46638_Ras-related protein Rab-.	proteomics_liver	MX2	sp|P46638|RB11B_MOUSE	Ras-related protein Rab-11B  OS=Mus musculus (Mouse) GN=Rab11b PE=1 SV=3	P46638	-0.181614532968126	0.000869765728685358	1	0.230224475875932	1.44233607651268e-05	1	1.80678370402553		0
P62751_60S ribosomal protein L2.	proteomics_liver	MX2	sp|P62751|RL23A_MOUSE	60S ribosomal protein L23a  OS=Mus musculus (Mouse) GN=Rpl23a PE=1 SV=1	P62751	-0.182431962410973	0.000947884949099515	1	0.0651450317639437	0.126837886045047	0	2.51203100008834		0
P70168_Importin subunit beta-1	proteomics_liver	MX2	sp|P70168|IMB1_MOUSE	Importin subunit beta-1  OS=Mus musculus (Mouse) GN=Kpnb1 PE=1 SV=2	P70168	0.249572936195371	0.00103872911539341	1	-0.287855532186359	5.7983224833208e-05	1	1.76284227212943		0
O70493_Sorting nexin-12	proteomics_liver	MX2	sp|O70493|SNX12_MOUSE	Sorting nexin-12  OS=Mus musculus (Mouse) GN=Snx12 PE=1 SV=1	O70493	-0.250285254996129	0.00105400410633972	1	0.551771865942118	3.41926867089493e-09	1	1.11500741598924		0
P46656_Adrenodoxin, mitochondri.	proteomics_liver	MX2	sp|P46656|ADX_MOUSE	Adrenodoxin, mitochondrial  OS=Mus musculus (Mouse) GN=Fdx1 PE=1 SV=1	P46656	-0.341070406228159	0.00112094185246389	1	0.0756749909936971	0.330786528214652	0	2.36029710898555		0
Q9D0M5_Dynein light chain 2, cy.	proteomics_liver	MX2	sp|Q9D0M5|DYL2_MOUSE	Dynein light chain 2, cytoplasmic  OS=Mus musculus (Mouse) GN=Dynll2 PE=1 SV=1	Q9D0M5	-0.198350007176231	0.0012559112941203	1	0.148803945644524	0.00407010637322604	1	1.97007180376035		0
P51150_Ras-related protein Rab-.	proteomics_liver	MX2	sp|P51150|RAB7A_MOUSE	Ras-related protein Rab-7a  OS=Mus musculus (Mouse) GN=Rab7a PE=1 SV=2	P51150	-0.177751810357236	0.00127249750806901	1	0.218245878016369	3.4846141078324e-05	1	1.55740952963959		0
Q9CPY7_Cytosol aminopeptidase	proteomics_liver	MX2	sp|Q9CPY7|AMPL_MOUSE	Cytosol aminopeptidase  OS=Mus musculus (Mouse) GN=Lap3 PE=1 SV=3	Q9CPY7	0.114177234363208	0.0013994704806389	1	-0.271524795938351	1.49028938915888e-09	1	1.01338741582009		0
Q91X83_S-adenosylmethionine syn.	proteomics_liver	MX2	sp|Q91X83|METK1_MOUSE	S-adenosylmethionine synthase isoform type-1  OS=Mus musculus (Mouse) GN=Mat1a PE=1 SV=1	Q91X83	0.349199394361523	0.00168068298992572	1	0.588531804559633	1.50456921328645e-07	1	1.6485462363842		0
P22599_Alpha-1-antitrypsin 1-2	proteomics_liver	MX2	sp|P22599|A1AT2_MOUSE	Alpha-1-antitrypsin 1-2  OS=Mus musculus (Mouse) GN=Serpina1b PE=1 SV=2	P22599	0.338092609453636	0.00168068298992572	1	-0.455023350552402	1.50007252008928e-05	1	1.3767383143649		0
